Dolibarr Schema Summary — addvaluesystem_upver
=======================================================
Total tables: 388

Table Name                                          Cols     Rows
llx_expensereport_ik                                   8        1
llx_expensereport_rules                               13        0
llx_export_compta                                      5        0
llx_export_model                                       7        1
llx_extrafields                                       30        0
llx_facture                                           69        3
llx_facture_extrafields                                4        0
llx_facture_fourn                                     56       12
llx_facture_fourn_det                                 40       15
llx_facture_fourn_det_extrafields                      4        0
llx_facture_fourn_det_rec                             41        0
llx_facture_fourn_det_rec_extrafields                  4        0
llx_facture_fourn_extrafields                          4        0
llx_facture_fourn_rec                                 44        0
llx_facture_fourn_rec_extrafields                      4        0
llx_facture_rec                                       47        1
llx_facture_rec_extrafields                            4        0
llx_facturedet                                        51        7
llx_facturedet_extrafields                             4        0
llx_facturedet_rec                                    44        1
llx_facturedet_rec_extrafields                         4        0
llx_fichinter                                         30        0
llx_fichinter_extrafields                              4        0
llx_fichinter_rec                                     21        0
llx_fichinterdet                                       8        0
llx_fichinterdet_extrafields                           4        0
llx_fichinterdet_rec                                  36        0
llx_holiday                                           30        1
llx_holiday_config                                     4        1
llx_holiday_extrafields                                4        0
llx_holiday_logs                                       8        1
llx_holiday_users                                      3        1
llx_hrm_evaluation                                    18        0
llx_hrm_evaluation_extrafields                         4        0
llx_hrm_evaluationdet                                 11        0
llx_hrm_evaluationdet_extrafields                      4        0
llx_hrm_job                                           10        0
llx_hrm_job_extrafields                                4        0
llx_hrm_job_user                                      14        0
llx_hrm_skill                                         13        0
llx_hrm_skill_extrafields                              4        0
llx_hrm_skilldet                                       6        0
llx_hrm_skillrank                                      9        0
llx_import_model                                       6        0
llx_intracommreport                                   10        0
llx_inventory                                         16        1
llx_inventory_extrafields                              4        0
llx_inventorydet                                      13        0
llx_knowledgemanagement_knowledgerecord               18        0
llx_knowledgemanagement_knowledgerecord_extrafields     4        0
llx_links                                              9        2
llx_loan                                              24        1
llx_loan_schedule                                     16        1
llx_localtax                                          12        0
llx_mailing                                           33        0
llx_mailing_advtarget                                 10        0
llx_mailing_cibles                                    15        0
llx_mailing_unsubscribe                                7        0
llx_menu                                              22        1
llx_mrp_mo                                            27        1
llx_mrp_mo_extrafields                                 4        0
llx_mrp_production                                    21        6
llx_mrp_production_extrafields                         4        0
llx_multicurrency                                      7        1
llx_multicurrency_rate                                 7        1
llx_notify                                            12        0
llx_notify_def                                        12        0
llx_notify_def_object                                  8        0
llx_oauth_state                                        6        0
llx_oauth_token                                       12        0
llx_object_lang                                        7        0
llx_onlinesignature                                    9        0
llx_opensurvey_comments                                7        0
llx_opensurvey_formquestions                           4        0
llx_opensurvey_sondage                                15        0
llx_opensurvey_user_formanswers                        3        0
llx_opensurvey_user_studs                              7        0
llx_overwrite_trans                                    5        1
llx_paiement                                          20        1
llx_paiement_facture                                   7        1
llx_paiementcharge                                    12        0
llx_paiementfourn                                     16        2
llx_paiementfourn_facturefourn                         7        1
llx_partnership                                       24        0
llx_partnership_extrafields                            4        0
llx_payment_donation                                  14        0
llx_payment_expensereport                             12        1
llx_payment_loan                                      15        1
llx_payment_salary                                    21        2
llx_payment_various                                   19        1
llx_payment_vat                                       12        0
llx_paymentexpensereport_expensereport                 7        0
llx_pos_cash_fence                                    20        0
llx_pos_cash_fence_extrafields                         4        0
llx_prelevement                                        5        0
llx_prelevement_bons                                  15        0
llx_prelevement_demande                               20        1
llx_prelevement_lignes                                13        0
llx_prelevement_rejet                                  9        0
llx_printer_receipt                                    6        0
llx_printer_receipt_template                           4        1
llx_printing                                          10        0
llx_product                                           85       67
llx_product_association                                7        0
llx_product_attribute                                  6        1
llx_product_attribute_combination                      8        0
llx_product_attribute_combination2val                  4        0
llx_product_attribute_combination_price_level          5        0
llx_product_attribute_extrafields                      4        0
llx_product_attribute_value                            6        0
llx_product_attribute_value_extrafields                4        0
llx_product_batch                                      8        2
llx_product_customer_price                            25        0
llx_product_customer_price_extrafields                 4        0
llx_product_customer_price_log                        24        0
llx_product_extrafields                                4        0
llx_product_fournisseur_price                         36       21
llx_product_fournisseur_price_extrafields              4        0
